"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Hosseinpouri A.; Mohammadi M.; Ehsandoost E.; Sharafi-Badr P.; Obeidi N.","Hosseinpouri, Arghavan (58044226500); Mohammadi, Mehdi (57212183799); Ehsandoost, Elham (55363250700); Sharafi-Badr, Paria (57219231159); Obeidi, Narges (35070011100)","58044226500; 57212183799; 55363250700; 57219231159; 35070011100","Chemical identification, antioxidant, cholinesterase inhibitory, and cytotoxic properties of fucoidan extracted from Persian Gulf Sargassum angustifolium","2022","Acta Oceanologica Sinica","41","12","","133","141","8","4","10.1007/s13131-021-1961-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145711796&doi=10.1007%2fs13131-021-1961-5&partnerID=40&md5=85707ee81337134158650085f2bb9289","Department of Cellular and Molecular Sciences, Faculty of Sciences, Persian Gulf University, Bushehr, 75168, Iran; Department of Marine Biotechnology, Persian Gulf Institute, Persian Gulf University, Bushehr, 75168, Iran; Department of Biotechnology, Persian Gulf Algae Development Technology, Delvar Industrial Zone No. 55, Bushehr, 75168, Iran; Department of Food Science and Technology, Shiraz University, Shiraz, 71441-65186, Iran; Department of Pharmacognosy and Pharmaceutical Biotechnology, School of Pharmacy, Iran University of Medical Sciences, Tehran, 14496-14535, Iran; Department of Hematology, Faculty of Paramedicine, Bushehr University of Medical Sciences, Bushehr, 75146-33341, Iran","Hosseinpouri A., Department of Cellular and Molecular Sciences, Faculty of Sciences, Persian Gulf University, Bushehr, 75168, Iran; Mohammadi M., Department of Marine Biotechnology, Persian Gulf Institute, Persian Gulf University, Bushehr, 75168, Iran, Department of Biotechnology, Persian Gulf Algae Development Technology, Delvar Industrial Zone No. 55, Bushehr, 75168, Iran; Ehsandoost E., Department of Biotechnology, Persian Gulf Algae Development Technology, Delvar Industrial Zone No. 55, Bushehr, 75168, Iran, Department of Food Science and Technology, Shiraz University, Shiraz, 71441-65186, Iran; Sharafi-Badr P., Department of Pharmacognosy and Pharmaceutical Biotechnology, School of Pharmacy, Iran University of Medical Sciences, Tehran, 14496-14535, Iran; Obeidi N., Department of Hematology, Faculty of Paramedicine, Bushehr University of Medical Sciences, Bushehr, 75146-33341, Iran","M. Mohammadi; Department of Marine Biotechnology, Persian Gulf Institute, Persian Gulf University, Bushehr, 75168, Iran; email: mohammadim@pgu.ac.ir","","Springer Verlag","0253505X","","","","English","Acta Oceanol. Sin.","Article","Final","","Scopus","2-s2.0-85145711796"
"Lv L.; Maimaitiming M.; Huang Y.; Yang J.; Chen S.; Sun Y.; Zhang X.; Li X.; Xue C.; Wang P.; Wang C.-Y.; Liu Z.","Lv, Ling (58093319500); Maimaitiming, Mireguli (57549226200); Huang, Yan (58174128200); Yang, Jichen (58174128300); Chen, Shuxia (58173267400); Sun, Yanfeng (58172840000); Zhang, Xuetao (58163314600); Li, Xin (55964469600); Xue, Changhu (57042270100); Wang, Pingyuan (55815661800); Wang, Chang-Yun (57210642310); Liu, Zhiqing (56101588700)","58093319500; 57549226200; 58174128200; 58174128300; 58173267400; 58172840000; 58163314600; 55964469600; 57042270100; 55815661800; 57210642310; 56101588700","Discovery of quinazolin-4(3H)-one derivatives as novel AChE inhibitors with anti-inflammatory activities","2023","European Journal of Medicinal Chemistry","254","","115346","","","","10","10.1016/j.ejmech.2023.115346","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151881865&doi=10.1016%2fj.ejmech.2023.115346&partnerID=40&md5=89375fea7004f5ea8e06febf8ca2d960","College of Food Science and Engineering, Institute of Evolution & Marine Biodiversity, Key Laboratory of Marine Drugs, The Ministry of Education of China, School of Medicine and Pharmacy, Ocean University of China, Qingdao, 266003, China; Laboratory for Marine Drugs and Bioproducts, Qingdao National Laboratory for Marine Science and Technology, Qingdao, 266237, China","Lv L., College of Food Science and Engineering, Institute of Evolution & Marine Biodiversity, Key Laboratory of Marine Drugs, The Ministry of Education of China, School of Medicine and Pharmacy, Ocean University of China, Qingdao, 266003, China, Laboratory for Marine Drugs and Bioproducts, Qingdao National Laboratory for Marine Science and Technology, Qingdao, 266237, China; Maimaitiming M., College of Food Science and Engineering, Institute of Evolution & Marine Biodiversity, Key Laboratory of Marine Drugs, The Ministry of Education of China, School of Medicine and Pharmacy, Ocean University of China, Qingdao, 266003, China, Laboratory for Marine Drugs and Bioproducts, Qingdao National Laboratory for Marine Science and Technology, Qingdao, 266237, China; Huang Y., College of Food Science and Engineering, Institute of Evolution & Marine Biodiversity, Key Laboratory of Marine Drugs, The Ministry of Education of China, School of Medicine and Pharmacy, Ocean University of China, Qingdao, 266003, China, Laboratory for Marine Drugs and Bioproducts, Qingdao National Laboratory for Marine Science and Technology, Qingdao, 266237, China; Yang J., College of Food Science and Engineering, Institute of Evolution & Marine Biodiversity, Key Laboratory of Marine Drugs, The Ministry of Education of China, School of Medicine and Pharmacy, Ocean University of China, Qingdao, 266003, China, Laboratory for Marine Drugs and Bioproducts, Qingdao National Laboratory for Marine Science and Technology, Qingdao, 266237, China; Chen S., College of Food Science and Engineering, Institute of Evolution & Marine Biodiversity, Key Laboratory of Marine Drugs, The Ministry of Education of China, School of Medicine and Pharmacy, Ocean University of China, Qingdao, 266003, China, Laboratory for Marine Drugs and Bioproducts, Qingdao National Laboratory for Marine Science and Technology, Qingdao, 266237, China; Sun Y., College of Food Science and Engineering, Institute of Evolution & Marine Biodiversity, Key Laboratory of Marine Drugs, The Ministry of Education of China, School of Medicine and Pharmacy, Ocean University of China, Qingdao, 266003, China, Laboratory for Marine Drugs and Bioproducts, Qingdao National Laboratory for Marine Science and Technology, Qingdao, 266237, China; Zhang X., College of Food Science and Engineering, Institute of Evolution & Marine Biodiversity, Key Laboratory of Marine Drugs, The Ministry of Education of China, School of Medicine and Pharmacy, Ocean University of China, Qingdao, 266003, China, Laboratory for Marine Drugs and Bioproducts, Qingdao National Laboratory for Marine Science and Technology, Qingdao, 266237, China; Li X., College of Food Science and Engineering, Institute of Evolution & Marine Biodiversity, Key Laboratory of Marine Drugs, The Ministry of Education of China, School of Medicine and Pharmacy, Ocean University of China, Qingdao, 266003, China, Laboratory for Marine Drugs and Bioproducts, Qingdao National Laboratory for Marine Science and Technology, Qingdao, 266237, China; Xue C., College of Food Science and Engineering, Institute of Evolution & Marine Biodiversity, Key Laboratory of Marine Drugs, The Ministry of Education of China, School of Medicine and Pharmacy, Ocean University of China, Qingdao, 266003, China, Laboratory for Marine Drugs and Bioproducts, Qingdao National Laboratory for Marine Science and Technology, Qingdao, 266237, China; Wang P., College of Food Science and Engineering, Institute of Evolution & Marine Biodiversity, Key Laboratory of Marine Drugs, The Ministry of Education of China, School of Medicine and Pharmacy, Ocean University of China, Qingdao, 266003, China, Laboratory for Marine Drugs and Bioproducts, Qingdao National Laboratory for Marine Science and Technology, Qingdao, 266237, China; Wang C.-Y., College of Food Science and Engineering, Institute of Evolution & Marine Biodiversity, Key Laboratory of Marine Drugs, The Ministry of Education of China, School of Medicine and Pharmacy, Ocean University of China, Qingdao, 266003, China, Laboratory for Marine Drugs and Bioproducts, Qingdao National Laboratory for Marine Science and Technology, Qingdao, 266237, China; Liu Z., College of Food Science and Engineering, Institute of Evolution & Marine Biodiversity, Key Laboratory of Marine Drugs, The Ministry of Education of China, School of Medicine and Pharmacy, Ocean University of China, Qingdao, 266003, China, Laboratory for Marine Drugs and Bioproducts, Qingdao National Laboratory for Marine Science and Technology, Qingdao, 266237, China","Z. Liu; College of Food Science and Engineering, Institute of Evolution & Marine Biodiversity, Ocean University of China, Qingdao, 266003, China; email: liuzhiqing@ouc.edu.cn; C.-Y. Wang; School of Medicine and Pharmacy, Institute of Evolution & Marine Biodiversity, Ocean University of China, Qingdao, 266003, China; email: changyun@ouc.edu.cn; P. Wang; School of Medicine and Pharmacy, Institute of Evolution & Marine Biodiversity, Ocean University of China, Qingdao, 266003, China; email: wangpingyuan@ouc.edu.cn","","Elsevier Masson s.r.l.","02235234","","EJMCA","37043994","English","Eur. J. Med. Chem.","Article","Final","","Scopus","2-s2.0-85151881865"
"Reale M.; Carrarini C.; Russo M.; Dono F.; Ferri L.; Di Pietro M.; Costantini E.; Porreca A.; Di Nicola M.; Onofrj M.; Bonanni L.","Reale, Marcella (57218147220); Carrarini, Claudia (57206848571); Russo, Mirella (57206855020); Dono, Fedele (57199174315); Ferri, Laura (57192948950); Di Pietro, Martina (57210823387); Costantini, Erica (56255318800); Porreca, Annamaria (57221505863); Di Nicola, Marta (57200842840); Onofrj, Marco (7006653830); Bonanni, Laura (6603146272)","57218147220; 57206848571; 57206855020; 57199174315; 57192948950; 57210823387; 56255318800; 57221505863; 57200842840; 7006653830; 6603146272","Muscarinic Receptors Expression in the Peripheral Blood Cells Differentiate Dementia with Lewy Bodies from Alzheimer's Disease","2022","Journal of Alzheimer's Disease","85","1","","323","330","7","4","10.3233/jad-215285","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122782757&doi=10.3233%2fjad-215285&partnerID=40&md5=c26c1b905c7ef7457af85a57fb9cee33","Department of Innovative Technologies in Medicine and Dentistry, University 'G. d'Annunzio' of Chieti-Pescara, Chieti, Italy; Department of Neuroscience, Imaging and Clinical Sciences, University 'G. d'Annunzio' of Chieti-Pescara, Chieti, Italy; Department of Medicine and Aging Sciences, University 'G. d'Annunzio' of Chieti-Pescara, Chieti, Italy; Department of Medical, Oral and Biotechnological Sciences, 'G. d'Annunzio' University of Chieti-Pescara, Chieti, Italy","Reale M., Department of Innovative Technologies in Medicine and Dentistry, University 'G. d'Annunzio' of Chieti-Pescara, Chieti, Italy; Carrarini C., Department of Neuroscience, Imaging and Clinical Sciences, University 'G. d'Annunzio' of Chieti-Pescara, Chieti, Italy; Russo M., Department of Neuroscience, Imaging and Clinical Sciences, University 'G. d'Annunzio' of Chieti-Pescara, Chieti, Italy; Dono F., Department of Neuroscience, Imaging and Clinical Sciences, University 'G. d'Annunzio' of Chieti-Pescara, Chieti, Italy; Ferri L., Department of Neuroscience, Imaging and Clinical Sciences, University 'G. d'Annunzio' of Chieti-Pescara, Chieti, Italy; Di Pietro M., Department of Neuroscience, Imaging and Clinical Sciences, University 'G. d'Annunzio' of Chieti-Pescara, Chieti, Italy; Costantini E., Department of Medicine and Aging Sciences, University 'G. d'Annunzio' of Chieti-Pescara, Chieti, Italy; Porreca A., Department of Medical, Oral and Biotechnological Sciences, 'G. d'Annunzio' University of Chieti-Pescara, Chieti, Italy; Di Nicola M., Department of Medical, Oral and Biotechnological Sciences, 'G. d'Annunzio' University of Chieti-Pescara, Chieti, Italy; Onofrj M., Department of Neuroscience, Imaging and Clinical Sciences, University 'G. d'Annunzio' of Chieti-Pescara, Chieti, Italy; Bonanni L., Department of Medicine and Aging Sciences, University 'G. d'Annunzio' of Chieti-Pescara, Chieti, Italy","L. Bonanni; Department of Medicine and Aging Sciences, University 'G. d'Annunzio' of Chieti-Pescara, Chieti, Italy; email: l.bonanni@unich.it","","IOS Press BV","13872877","","JADIF","34806612","English","J. Alzheimer's Dis.","Article","Final","","Scopus","2-s2.0-85122782757"
"Almasi F.; Mohammadipanah F.; Adhami H.-R.; Hamedi J.","Almasi, F. (57190132983); Mohammadipanah, F. (34977338000); Adhami, H.-R. (55599571500); Hamedi, J. (55990936600)","57190132983; 34977338000; 55599571500; 55990936600","Introduction of marine-derived Streptomyces sp. UTMC 1334 as a source of pyrrole derivatives with anti-acetylcholinesterase activity","2018","Journal of Applied Microbiology","125","5","","1370","1382","12","28","10.1111/jam.14043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052404707&doi=10.1111%2fjam.14043&partnerID=40&md5=0b9214424c28897ef00308a4ba465660","Department of Microbial Biotechnology, School of Biology and Center of Excellence in Phylogeny of Living Organisms, College of Science, University of Tehran, Tehran, Iran; Microbial Technology and Products Research Center, University of Tehran, Tehran, Iran; Department of Pharmacognosy, Faculty of Pharmacy, Tehran University of Medical Sciences, Tehran, Iran","Almasi F., Department of Microbial Biotechnology, School of Biology and Center of Excellence in Phylogeny of Living Organisms, College of Science, University of Tehran, Tehran, Iran, Microbial Technology and Products Research Center, University of Tehran, Tehran, Iran; Mohammadipanah F., Department of Microbial Biotechnology, School of Biology and Center of Excellence in Phylogeny of Living Organisms, College of Science, University of Tehran, Tehran, Iran; Adhami H.-R., Department of Pharmacognosy, Faculty of Pharmacy, Tehran University of Medical Sciences, Tehran, Iran; Hamedi J., Department of Microbial Biotechnology, School of Biology and Center of Excellence in Phylogeny of Living Organisms, College of Science, University of Tehran, Tehran, Iran, Microbial Technology and Products Research Center, University of Tehran, Tehran, Iran","F. Mohammadipanah; Department of Microbial Biotechnology, School of Biology and Center of Excellence in Phylogeny of Living Organisms, College of Science, University of Tehran, Tehran, Iran; email: fmohammadipanah@ut.ac.ir","","John Wiley and Sons Inc","13645072","","JAMIF","29981531","English","J. Appl. Microbiol.","Article","Final","","Scopus","2-s2.0-85052404707"
"Flepisi B.T.; Hanser S.; Balmith M.","Flepisi, B.T. (55322658800); Hanser, S. (57816595400); Balmith, M. (57189958790)","55322658800; 57816595400; 57189958790","Update on the pharmacological management of neurodegenerative diseases: Alzheimer’s disease","2024","SA Pharmaceutical Journal","91","3","","38","41","3","0","10.36303/SAPJ.0492","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200899115&doi=10.36303%2fSAPJ.0492&partnerID=40&md5=2e2a21f45dc6f1fc462b73da467bf95c","Department of Pharmacology, School of Medicine, Faculty of Health Sciences, University of Pretoria, South Africa; Department of Physiology and Environmental Health, University of Limpopo, South Africa","Flepisi B.T., Department of Pharmacology, School of Medicine, Faculty of Health Sciences, University of Pretoria, South Africa; Hanser S., Department of Physiology and Environmental Health, University of Limpopo, South Africa; Balmith M., Department of Pharmacology, School of Medicine, Faculty of Health Sciences, University of Pretoria, South Africa","B.T. Flepisi; Department of Pharmacology, School of Medicine, Faculty of Health Sciences, University of Pretoria, South Africa; email: brian.flepisi@up.ac.za","","Medpharm Publications","22215875","","","","English","SA Pharm. J.","Review","Final","","Scopus","2-s2.0-85200899115"
"Giacconi R.; Giuli C.; Casoli T.; Balietti M.; Costarelli L.; Provinciali M.; Basso A.; Piacenza F.; Postacchini D.; Galeazzi R.; Fattoretti P.; Nisi L.; Fabbietti P.; Papa R.; Malavolta M.","Giacconi, R. (7003569312); Giuli, C. (24372780400); Casoli, T. (7003271595); Balietti, M. (6506282735); Costarelli, L. (22979073600); Provinciali, M. (7003630412); Basso, A. (7101615355); Piacenza, F. (19934021300); Postacchini, D. (6507722776); Galeazzi, R. (57192229013); Fattoretti, P. (7003923906); Nisi, L. (57201213630); Fabbietti, P. (35344815900); Papa, R. (36798610500); Malavolta, M. (6603216373)","7003569312; 24372780400; 7003271595; 6506282735; 22979073600; 7003630412; 7101615355; 19934021300; 6507722776; 57192229013; 7003923906; 57201213630; 35344815900; 36798610500; 6603216373","Acetylcholinesterase inhibitors in Alzheimer's disease influence Zinc and Copper homeostasis","2019","Journal of Trace Elements in Medicine and Biology","55","","","58","63","5","23","10.1016/j.jtemb.2019.06.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066823978&doi=10.1016%2fj.jtemb.2019.06.001&partnerID=40&md5=82e98d6aababd23ffc503a7145273c5c","Advanced Technology Center for Aging Research, IRCCS INRCA, Ancona, Italy; Geriatrics Operative Unit, IRCCS INRCA, Fermo, Italy; Center for Neurobiology of Aging, IRCCS INRCA, Ancona, Italy; Clinical Laboratory & Molecular Diagnostics, IRCCS INRCA, Ancona, Italy; Unit of Geriatric Pharmacoepidemiology, IRCCS INRCA, Ancona, Italy; Centre of Socio-Economic Gerontological Research, IRCCS INRCA, Ancona, Italy","Giacconi R., Advanced Technology Center for Aging Research, IRCCS INRCA, Ancona, Italy; Giuli C., Geriatrics Operative Unit, IRCCS INRCA, Fermo, Italy; Casoli T., Center for Neurobiology of Aging, IRCCS INRCA, Ancona, Italy; Balietti M., Center for Neurobiology of Aging, IRCCS INRCA, Ancona, Italy; Costarelli L., Clinical Laboratory & Molecular Diagnostics, IRCCS INRCA, Ancona, Italy; Provinciali M., Advanced Technology Center for Aging Research, IRCCS INRCA, Ancona, Italy; Basso A., Advanced Technology Center for Aging Research, IRCCS INRCA, Ancona, Italy; Piacenza F., Advanced Technology Center for Aging Research, IRCCS INRCA, Ancona, Italy; Postacchini D., Geriatrics Operative Unit, IRCCS INRCA, Fermo, Italy; Galeazzi R., Clinical Laboratory & Molecular Diagnostics, IRCCS INRCA, Ancona, Italy; Fattoretti P., Center for Neurobiology of Aging, IRCCS INRCA, Ancona, Italy; Nisi L., Advanced Technology Center for Aging Research, IRCCS INRCA, Ancona, Italy; Fabbietti P., Unit of Geriatric Pharmacoepidemiology, IRCCS INRCA, Ancona, Italy; Papa R., Centre of Socio-Economic Gerontological Research, IRCCS INRCA, Ancona, Italy; Malavolta M., Advanced Technology Center for Aging Research, IRCCS INRCA, Ancona, Italy","R. Giacconi; Advanced Technology Center for Aging Research, IRCCS INRCA, Ancona, Via Birarelli 8, 60121, Italy; email: r.giacconi@inrca.it","","Elsevier GmbH","0946672X","","JTEBF","31345366","English","J. Trace Elem. Med. Biol.","Article","Final","","Scopus","2-s2.0-85066823978"
"Abdul Manap A.S.; Madhavan P.; Vijayabalan S.; Chia A.; Fukui K.","Abdul Manap, Aimi Syamima (57210317165); Madhavan, Priya (37102010400); Vijayabalan, Shantini (57194859437); Chia, Adeline (33567497500); Fukui, Koji (55007265600)","57210317165; 37102010400; 57194859437; 33567497500; 55007265600","Explicating anti-amyloidogenic role of curcumin and piperine via amyloid beta (Aβ) explicit pathway: Recovery and reversal paradigm effects","2020","PeerJ","8","","e10003","","","","3","10.7717/peerj.10003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093842663&doi=10.7717%2fpeerj.10003&partnerID=40&md5=9015074ee9b92ecb36069102ae19e3b4","School of Biosciences, Faculty of Health and Medical Sciences, Taylor’s University, Subang Jaya, Selangor, Malaysia; School of Medicine, Faculty of Health and Medical Sciences, Taylor’s University, Subang Jaya, Selangor, Malaysia; School of Pharmacy, Faculty of Health and Medical Sciences, Taylor’s University, Subang Jaya, Selangor, Malaysia; Department of Bioscience and Engineering, College of Systems Engineering and Science, Shibaura Institute of Technology, Saitama, Japan","Abdul Manap A.S., School of Biosciences, Faculty of Health and Medical Sciences, Taylor’s University, Subang Jaya, Selangor, Malaysia; Madhavan P., School of Medicine, Faculty of Health and Medical Sciences, Taylor’s University, Subang Jaya, Selangor, Malaysia; Vijayabalan S., School of Pharmacy, Faculty of Health and Medical Sciences, Taylor’s University, Subang Jaya, Selangor, Malaysia; Chia A., School of Biosciences, Faculty of Health and Medical Sciences, Taylor’s University, Subang Jaya, Selangor, Malaysia; Fukui K., Department of Bioscience and Engineering, College of Systems Engineering and Science, Shibaura Institute of Technology, Saitama, Japan","P. Madhavan; School of Medicine, Faculty of Health and Medical Sciences, Taylor’s University, Subang Jaya, Selangor, Malaysia; email: Priya.Madhavan@taylors.edu.my; K. Fukui; Department of Bioscience and Engineering, College of Systems Engineering and Science, Shibaura Institute of Technology, Saitama, Japan; email: koji@shibaura-it.ac.jp","","PeerJ Inc.","21678359","","","","English","PeerJ","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85093842663"
"Ban Y.-H.; Park D.; Choi E.-K.; Kim T.M.; Joo S.S.; Kim Y.-B.","Ban, Young-Hwan (57188969803); Park, Dongsun (55724786600); Choi, Ehn-Kyoung (36909978300); Kim, Tae Myoung (59098650000); Joo, Seong Soo (56808768200); Kim, Yun-Bae (8260553900)","57188969803; 55724786600; 36909978300; 59098650000; 56808768200; 8260553900","Effectiveness of Combinational Treatments for Alzheimer’s Disease with Human Neural Stem Cells and Microglial Cells Over-Expressing Functional Genes","2023","International Journal of Molecular Sciences","24","11","9561","","","","3","10.3390/ijms24119561","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161911126&doi=10.3390%2fijms24119561&partnerID=40&md5=f591e4a947653aef55c89fc00ef8dc1c","College of Veterinary Medicine, Chungbuk National University, Chungbuk, Cheongju, 28644, South Korea; Department of Biology Education, Korea National University of Education, Chungbuk, Cheongju, 28173, South Korea; Central Research Institute, Designed Cells Co., Ltd, Chungbuk, Cheongju, 28576, South Korea; College of Life Science, Gangneung-Wonju National University, Gangwon, Gangneung, 25457, South Korea","Ban Y.-H., College of Veterinary Medicine, Chungbuk National University, Chungbuk, Cheongju, 28644, South Korea; Park D., Department of Biology Education, Korea National University of Education, Chungbuk, Cheongju, 28173, South Korea; Choi E.-K., Central Research Institute, Designed Cells Co., Ltd, Chungbuk, Cheongju, 28576, South Korea; Kim T.M., Central Research Institute, Designed Cells Co., Ltd, Chungbuk, Cheongju, 28576, South Korea; Joo S.S., College of Life Science, Gangneung-Wonju National University, Gangwon, Gangneung, 25457, South Korea; Kim Y.-B., College of Veterinary Medicine, Chungbuk National University, Chungbuk, Cheongju, 28644, South Korea, Department of Biology Education, Korea National University of Education, Chungbuk, Cheongju, 28173, South Korea","Y.-B. Kim; College of Veterinary Medicine, Chungbuk National University, Cheongju, Chungbuk, 28644, South Korea; email: solar93@cbu.ac.kr","","Multidisciplinary Digital Publishing Institute (MDPI)","16616596","","","37298510","English","Int. J. Mol. Sci.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85161911126"
"Oguchi T.; Ono R.; Tsuji M.; Shozawa H.; Somei M.; Inagaki M.; Mori Y.; Yasumoto T.; Ono K.; Kiuchi Y.","Oguchi, Tatsunori (57195223269); Ono, Ran (57195214294); Tsuji, Mayumi (18041270800); Shozawa, Hidenobu (57196192532); Somei, Masayuki (56204515700); Inagaki, Manami (55774018800); Mori, Yukiko (56508782600); Yasumoto, Taro (57196189982); Ono, Kenjiro (7403889504); Kiuchi, Yuji (26643273200)","57195223269; 57195214294; 18041270800; 57196192532; 56204515700; 55774018800; 56508782600; 57196189982; 7403889504; 26643273200","Cilostazol suppresses Aß-induced neurotoxicity in SH-SY5Y cells through inhibition of oxidative stress and MAPK signaling pathway","2017","Frontiers in Aging Neuroscience","9","OCT","337","","","","57","10.3389/fnagi.2017.00337","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032183191&doi=10.3389%2ffnagi.2017.00337&partnerID=40&md5=bf45c88af207552ebc952bc16898b971","Department of Pharmacology, School of Medicine, Showa University, Tokyo, Japan; Department of Internal Medicine, Division of Neurology, School of Medicine, Showa University, Tokyo, Japan; Department of Anesthesiology, Showa University Koto Toyosu Hospital, Tokyo, Japan","Oguchi T., Department of Pharmacology, School of Medicine, Showa University, Tokyo, Japan, Department of Internal Medicine, Division of Neurology, School of Medicine, Showa University, Tokyo, Japan; Ono R., Department of Pharmacology, School of Medicine, Showa University, Tokyo, Japan; Tsuji M., Department of Pharmacology, School of Medicine, Showa University, Tokyo, Japan; Shozawa H., Department of Internal Medicine, Division of Neurology, School of Medicine, Showa University, Tokyo, Japan; Somei M., Department of Anesthesiology, Showa University Koto Toyosu Hospital, Tokyo, Japan; Inagaki M., Department of Pharmacology, School of Medicine, Showa University, Tokyo, Japan; Mori Y., Department of Pharmacology, School of Medicine, Showa University, Tokyo, Japan, Department of Internal Medicine, Division of Neurology, School of Medicine, Showa University, Tokyo, Japan; Yasumoto T., Department of Pharmacology, School of Medicine, Showa University, Tokyo, Japan, Department of Internal Medicine, Division of Neurology, School of Medicine, Showa University, Tokyo, Japan; Ono K., Department of Internal Medicine, Division of Neurology, School of Medicine, Showa University, Tokyo, Japan; Kiuchi Y., Department of Pharmacology, School of Medicine, Showa University, Tokyo, Japan","M. Tsuji; Department of Pharmacology, School of Medicine, Showa University, Tokyo, Japan; email: tsujim@med.showa-u.ac.jp","","Frontiers Media S.A.","16634365","","","","English","Front. Aging Neurosci.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85032183191"
"SKV M.; Abraham S.M.; Eshwari O.; Golla K.; Jhelum P.; Maity S.; Komal P.","SKV, Manjari (58905461300); Abraham, Sharon Mariam (58500441700); Eshwari, Omalur (58905636800); Golla, Kishore (58905636900); Jhelum, Priya (58439897900); Maity, Shuvadeep (54391474500); Komal, Pragya (37124172500)","58905461300; 58500441700; 58905636800; 58905636900; 58439897900; 54391474500; 37124172500","Tremendous Fidelity of Vitamin D3 in Age-related Neurological Disorders","2024","Molecular Neurobiology","61","9","","7211","7238","27","3","10.1007/s12035-024-03989-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185978790&doi=10.1007%2fs12035-024-03989-w&partnerID=40&md5=1b2d6a116f64ab27a94a9baac68731db","Department of Biological Sciences, Birla Institute of Technology and Science-Pilani (BITS-Pilani) Hyderabad campus, Shameerpet-Mandal, Telangana, Hyderabad, India; Centre for Research in Neuroscience and Brain Program, The Research Instituteof the, McGill University Health Centre, Montreal, QC, Canada","SKV M., Department of Biological Sciences, Birla Institute of Technology and Science-Pilani (BITS-Pilani) Hyderabad campus, Shameerpet-Mandal, Telangana, Hyderabad, India; Abraham S.M., Department of Biological Sciences, Birla Institute of Technology and Science-Pilani (BITS-Pilani) Hyderabad campus, Shameerpet-Mandal, Telangana, Hyderabad, India; Eshwari O., Department of Biological Sciences, Birla Institute of Technology and Science-Pilani (BITS-Pilani) Hyderabad campus, Shameerpet-Mandal, Telangana, Hyderabad, India; Golla K., Department of Biological Sciences, Birla Institute of Technology and Science-Pilani (BITS-Pilani) Hyderabad campus, Shameerpet-Mandal, Telangana, Hyderabad, India; Jhelum P., Centre for Research in Neuroscience and Brain Program, The Research Instituteof the, McGill University Health Centre, Montreal, QC, Canada; Maity S., Department of Biological Sciences, Birla Institute of Technology and Science-Pilani (BITS-Pilani) Hyderabad campus, Shameerpet-Mandal, Telangana, Hyderabad, India; Komal P., Department of Biological Sciences, Birla Institute of Technology and Science-Pilani (BITS-Pilani) Hyderabad campus, Shameerpet-Mandal, Telangana, Hyderabad, India","P. Komal; Department of Biological Sciences, Birla Institute of Technology and Science-Pilani (BITS-Pilani) Hyderabad campus, Hyderabad, Shameerpet-Mandal, Telangana, India; email: pragya@hyderabad.bits-pilani.ac.in","","Springer","08937648","","MONBE","38372958","English","Mol. Neurobiol.","Article","Final","","Scopus","2-s2.0-85185978790"
